Province,Electoral District,Candidate,Votes
Province_01,District_01,Candidate_01,100
Province_02,District_02,Candidate_02,200
Province_03,District_03,Candidate_03,300
Province_04,District_04,Candidate_04,400
Province_05,District_05,Candidate_05,500
Province_06,District_06,Candidate_06,600
Province_07,District_07,Candidate_07,700
Province_08,District_08,Candidate_08,800
Province_09,District_09,Candidate_09,900
Province_10,District_10,Candidate_10,1000
Province_11,District_11,Candidate_11,1100
Province_12,District_12,Candidate_12,1200
Province_13,District_13,Candidate_13,1300
Province_14,District_14,Candidate_14,1400
Province_15,District_15,Candidate_15,1500
Province_16,District_16,Candidate_16,1600
Province_17,District_17,Candidate_17,1700
Province_18,District_18,Candidate_18,1800
Province_19,District_19,Candidate_19,1900
Province_20,District_20,Candidate_20,2000
Province_21,District_21,Candidate_21,2100
Province_22,District_22,Candidate_22,2200
Province_23,District_23,Candidate_23,2300
Province_24,District_24,Candidate_24,2400
Province_25,District_25,Candidate_25,2500
Province_26,District_26,Candidate_26,2600
Province_27,District_27,Candidate_27,2700
Province_28,District_28,Candidate_28,2800
Province_29,District_29,Candidate_29,2900
Province_30,District_30,Candidate_30,3000
